,01a_trident,01b_trident,02a _trident,02b_trident,03a_trident,03b_trident,04a_trident,04b_trident,05a_trident,05b_trident,06a_trident,06b_trident,07a_trident,07b_trident,08a_outlier_trident,08b_trident,08c_trident,09a_trident,09b_trident,10a_trident,10b_trident
1962,NA,NA,NA,NA,0.91,0.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1963,NA,NA,NA,NA,0.65,0.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1964,NA,NA,NA,NA,0.5,0.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1965,NA,NA,NA,NA,0.67,0.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1966,NA,NA,NA,NA,0.46,0.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1967,NA,NA,NA,NA,0.63,0.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1968,NA,NA,NA,NA,0.66,0.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1969,NA,NA,NA,NA,0.61,0.65,NA,NA,NA,NA,NA,NA,0.6,0.63,NA,NA,NA,NA,NA,NA,NA
1970,NA,NA,NA,NA,0.43,0.43,NA,NA,NA,NA,NA,NA,0.41,0.42,NA,NA,NA,NA,NA,NA,NA
1971,NA,NA,NA,NA,0.47,0.5,NA,NA,NA,NA,NA,NA,0.33,0.4,NA,NA,NA,NA,NA,NA,NA
1972,NA,NA,NA,NA,0.36,0.42,NA,NA,NA,NA,NA,NA,0.28,0.31,NA,NA,NA,NA,NA,NA,NA
1973,NA,NA,NA,NA,0.31,0.37,NA,NA,NA,NA,NA,NA,0.26,0.35,NA,NA,NA,NA,NA,NA,NA
1974,NA,NA,NA,NA,0.62,0.6,NA,NA,NA,NA,NA,NA,0.43,0.42,NA,NA,NA,NA,NA,NA,NA
1975,NA,NA,0.74,0.67,0.52,0.54,NA,NA,NA,NA,NA,NA,0.37,0.4,NA,NA,NA,NA,NA,NA,NA
1976,NA,NA,0.45,0.43,0.71,0.74,NA,NA,NA,NA,NA,NA,0.48,0.49,NA,NA,NA,NA,NA,NA,NA
1977,NA,NA,0.52,0.46,0.6,0.62,NA,NA,NA,NA,NA,NA,0.52,0.53,NA,NA,NA,NA,NA,NA,NA
1978,NA,NA,0.46,0.54,0.77,0.88,NA,0.28,NA,NA,NA,NA,0.77,0.74,NA,NA,NA,NA,NA,NA,NA
1979,NA,NA,0.8,0.84,0.82,0.78,0.48,0.43,NA,NA,NA,NA,0.86,0.91,NA,NA,NA,NA,NA,NA,NA
1980,NA,NA,0.74,0.72,0.87,0.71,0.8,0.81,NA,NA,NA,NA,1.08,1.19,NA,NA,NA,NA,NA,NA,NA
1981,NA,NA,0.79,0.8,0.87,0.83,0.51,0.54,0.3,0.34,NA,NA,0.88,1,NA,NA,NA,NA,NA,NA,NA
1982,NA,NA,1.79,1.81,0.96,0.78,1.05,1.02,0.69,0.54,0.38,0.36,1.1,1.19,NA,NA,NA,NA,NA,NA,NA
1983,NA,NA,1.48,1.65,0.9,0.75,0.77,0.83,0.47,0.37,0.34,0.5,1.01,1.12,NA,NA,NA,NA,NA,NA,NA
1984,NA,NA,1.58,1.41,0.94,0.81,0.88,0.85,0.37,0.28,0.3,0.29,0.79,0.79,NA,NA,NA,NA,NA,NA,NA
1985,NA,NA,1.44,1.34,1.18,1.03,1.24,1.23,0.43,0.33,0.52,0.48,1.08,1.11,NA,NA,NA,NA,NA,0.34,0.33
1986,NA,NA,0.94,0.74,0.86,0.72,0.71,0.7,0.25,0.31,0.33,0.36,1.02,1.15,NA,NA,NA,NA,NA,0.2,0.2
1987,NA,NA,0.9,1,0.79,0.65,0.87,0.87,0.32,0.38,0.33,0.35,0.68,0.8,NA,NA,NA,NA,NA,0.25,0.29
1988,NA,NA,0.79,0.85,0.82,0.59,0.97,0.95,0.35,0.33,0.35,0.42,0.69,0.81,NA,NA,NA,NA,NA,0.35,0.26
1989,NA,NA,0.62,0.66,0.96,0.69,0.61,0.61,0.49,0.44,0.55,0.56,0.89,1.12,0.17,NA,NA,NA,NA,0.28,0.29
1990,0.93,1.07,0.51,0.51,0.58,0.36,0.51,0.58,0.46,0.32,0.25,0.44,0.47,0.69,0.11,NA,NA,NA,NA,0.27,0.33
1991,0.6,0.57,0.57,0.78,0.74,0.44,0.81,0.72,0.42,0.39,0.24,0.26,0.38,0.55,0.1,NA,NA,NA,NA,0.35,0.34
1992,0.81,0.93,0.57,0.58,0.66,0.54,1.24,1.37,0.49,0.6,0.74,0.82,0.83,0.87,0.09,NA,NA,NA,NA,0.37,0.38
1993,0.55,0.47,0.96,0.78,0.74,0.63,1.3,1.26,0.45,0.45,0.82,0.95,1.2,1.18,0.12,0.39,0.41,NA,NA,0.36,0.4
1994,0.62,0.65,0.84,0.79,0.58,0.5,0.99,1.03,0.42,0.41,0.64,0.72,1.35,1.12,0.16,0.57,0.6,0.21,0.21,0.54,0.51
1995,0.85,0.98,0.98,0.83,0.71,0.54,1.75,1.72,0.45,0.44,0.45,0.53,1.04,1.1,0.17,0.74,0.71,0.22,0.24,0.69,0.71
1996,1.01,0.98,0.84,0.67,0.6,0.46,1.07,1.06,0.32,0.29,0.31,0.25,0.74,0.86,0.11,0.34,0.34,0.16,0.16,0.56,0.51
1997,0.8,0.78,0.64,1.27,0.45,0.29,0.92,0.91,0.36,0.31,0.26,0.34,0.62,0.62,0.18,0.36,0.4,0.13,0.18,0.62,0.64
1998,1,0.95,0.82,1.07,0.51,0.23,1.04,1.04,0.39,0.29,0.35,0.34,0.74,0.7,0.43,0.6,0.57,0.21,0.26,1.09,1.07
1999,0.95,0.96,0.72,0.97,0.68,0.28,1.25,1.31,0.36,0.27,0.68,0.72,0.69,0.79,0.66,0.59,0.56,0.4,0.36,1.08,1.14
2000,0.72,0.66,0.46,0.71,0.59,0.33,1.15,1.17,0.23,0.17,0.39,0.59,0.74,0.79,0.67,0.42,0.41,0.21,0.21,0.72,0.62
2001,1.03,0.97,0.51,0.62,0.68,0.35,1.17,1.13,0.29,0.28,0.42,0.48,0.87,0.84,0.85,0.68,0.69,0.24,0.23,0.96,0.87
2002,1.08,1.12,0.45,0.56,0.54,0.28,0.61,0.66,0.22,0.2,0.45,0.6,1.04,1.11,0.82,0.63,0.67,0.33,0.24,0.82,0.81
2003,1.38,1.69,0.69,0.64,0.38,0.34,1.32,1.28,0.36,0.2,0.5,0.54,1.13,1.11,0.46,0.53,0.48,0.46,0.49,1.1,1.05
2004,1.29,1.3,0.52,0.58,0.4,0.43,1.23,1.29,0.38,0.26,0.41,0.57,1.2,1.09,0.58,0.73,0.72,0.56,0.63,1.46,0.96
2005,1.24,1.33,0.59,0.57,0.56,0.73,0.93,1.09,0.48,0.46,0.5,0.57,1.16,1.08,0.47,0.39,0.41,0.79,0.39,1.28,0.96
2006,1.81,1.87,0.93,0.58,0.66,0.83,1.02,1.04,0.5,0.44,0.75,0.67,1.53,1.33,0.73,0.42,0.41,0.75,0.8,1.7,1.09
2007,0.79,0.93,0.55,0.32,1.42,0.67,0.63,0.68,0.42,0.48,0.46,0.72,1.23,1.24,0.66,0.35,0.3,0.89,0.88,1.03,0.86
2008,1.13,1.05,1.02,0.47,1.28,0.7,1.45,1.36,0.38,0.52,0.57,0.63,1.07,0.95,0.76,0.5,0.42,1.24,1.26,1.54,1.31
2009,0.95,0.85,0.57,0.28,0.86,0.47,1.08,1.1,0.27,0.48,0.29,0.27,0.65,0.68,0.82,0.37,0.43,0.75,1.16,0.99,0.78
2010,0.82,0.68,0.88,0.25,1.21,0.73,1.1,1.18,0.26,0.54,0.63,0.41,0.8,1.12,0.65,0.55,0.44,0.95,1.28,0.67,0.73
2011,0.85,0.66,0.86,0.34,1.08,0.75,1.06,1.15,0.33,0.52,0.48,0.39,0.95,1.21,0.61,0.69,0.61,1.16,1.85,0.95,0.79
2012,0.77,0.63,0.78,0.35,0.8,0.57,0.77,0.97,0.45,0.53,0.35,0.32,0.69,1.01,0.66,0.67,0.53,1.23,1.77,0.73,0.67
2013,0.49,0.54,0.41,0.37,0.49,0.43,0.71,0.79,0.3,0.36,0.3,0.31,0.74,0.94,0.99,0.81,0.88,1.04,1.5,0.93,0.82
2014,0.58,0.53,0.65,0.52,0.58,0.43,0.74,0.96,0.55,0.39,0.37,0.35,0.88,1.17,0.93,0.95,1.09,0.82,1.23,1.14,0.88
2015,0.71,0.63,0.9,0.64,0.77,0.34,1.06,1.18,0.38,0.48,0.51,0.38,0.78,0.99,0.95,0.65,0.78,0.81,1.11,0.84,0.7
