ele,time,magvar,geoidheigh,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsd,dgpsid,gpxx_Waypo,wptx1_Wayp,ctx_Creati,ActualName,ppt201201bi,ppt201202bi,ppt201203bi,ppt201204bi,ppt201205bi,ppt201206bi,ppt201207bi,ppt201208bi,ppt201209bi,ppt201210bi,ppt201211bi,ppt201212bi,ppt201301bi,ppt201302bi,ppt201303bi,ppt201304bi,ppt201305bi,ppt201306bi,ppt201307bi,ppt201308bi,ppt201309bi,ppt201310bi,ppt201311bi,ppt201312bi,ppt201401bi,ppt201402bi,ppt201403bi,ppt201404bi,ppt201405bi,ppt201406bi,ppt201407bi,ppt201408bi,ppt201409bi,ppt201410bi,ppt201411bi,ppt201412bi,ppt201501bi,ppt201502bi,ppt201503bi,ppt201504bi,ppt201505bi,ppt201506bi,ppt201507bi,ppt201508bi,ppt201509bi,ppt201510bi,ppt201511bi,ppt201512bi,tmean201201,tmean201202,tmean201203,tmean201204,tmean201205,tmean201206,tmean201207,tmean201208,tmean201209,tmean201210,tmean201211,tmean201212,tmean201301,tmean201302,tmean201303,tmean201304,tmean201305,tmean201306,tmean201307,tmean201308,tmean201309,tmean201310,tmean201311,tmean201312,tmean201401,tmean201402,tmean201403,tmean201404,tmean201405,tmean201406,tmean201407,tmean201408,tmean201409,tmean201410,tmean201411,tmean201412,tmean201501,tmean201502,tmean201503,tmean201504,tmean201505,tmean201506,tmean201507,tmean201508,tmean201509,tmean201510,tmean201511,tmean201512
,,,,,,,,,,,,,,,,,,,,,,,,,,Mt Whitney,180.0500030500,42.7000007630,36.7999992370,168.6199951200,0.8600000143,0.7500000000,2.0299999714,5.6199998856,0.0000000000,23.8199996950,47.1100006100,208.7100067100,54.3100013730,19.5100002290,7.9400000572,1.0099999905,17.3199996950,0.2300000042,12.2700004580,2.8900001049,1.7100000381,40.5699996950,16.5499992370,8.5000000000,29.1700000760,65.6900024410,115.3399963400,72.9000015260,20.4799995420,0.0000000000,11.4300003050,14.0900001530,13.3699998860,0.0000000000,58.5800018310,145.0700073200,4.3200001717,82.2200012210,9.9200000763,28.0799999240,38.5600013730,11.5799999240,38.2299995420,6.4800000191,3.1099998951,43.5600013730,103.6699981700,154.5299987800,-5.8300004005,-9.0900001526,-7.7399997711,-4.4900002480,0.5449998379,5.0450000763,7.4749999046,9.7200002670,6.4250001907,1.3899998665,-4.0349998474,-9.4850006104,-9.6800003052,-10.7200002670,-6.2350001335,-3.0599999428,0.8599998951,7.1849999428,9.2500000000,7.0999999046,3.7750000954,-1.5150001049,-4.2000002861,-5.9900002480,-3.3449997902,-7.0950002670,-5.6549997330,-3.3050003052,0.5349998474,6.1800003052,9.4949998856,6.8550000191,5.6700000763,3.0050001144,-3.0350003242,-8.0150003433,-6.0850000381,-4.2550001144,-4.3949999809,-4.2699999809,-2.7990000248,6.5090003014,5.8990001678,8.0750007629,5.4290003777,0.9440000653,-7.5500001907,-10.4840002060
,,,,,,,,,,,,,,,,,,,,,,,,,,Death Valley,0.0500000007,0.7500000000,0.0099999998,5.5999999046,0.0000000000,0.0000000000,3.0199999809,16.5400009160,0.0000000000,13.8299999240,0.0000000000,1.3099999428,4.6300001144,0.0000000000,12.3100004200,0.0000000000,0.0000000000,0.0000000000,19.0400009160,2.7400000095,5.3800001144,0.0099999998,10.2200002670,0.0000000000,0.0000000000,0.0000000000,8.5399999619,2.6900000572,0.4499999881,0.0000000000,2.1700000763,6.1799998283,15.1499996190,0.0000000000,0.0099999998,14.2700004580,10.8500003810,6.3400001526,4.0300002098,0.0099999998,2.3499999046,0.0000000000,7.3200001717,0.0099999998,0.0000000000,31.9200000760,0.0000000000,0.5899999738,12.6250000000,16.6200008390,19.6800003050,25.7299995420,32.0299987790,36.8199996950,38.7700004580,39.7649993900,35.3400001530,26.3199996950,18.3950004580,13.4249992370,11.4650001530,15.7549991610,22.5900001530,26.9150009160,31.0900001530,38.1399993900,40.2849998470,36.9300003050,32.5299987790,23.4599990840,16.3050003050,10.9599990840,14.2399997710,17.2000007630,21.8549995420,26.5100002290,30.6900005340,36.4300003050,39.5799980160,36.6350021360,34.3899993900,27.5249996190,17.8950004580,13.5200004580,13.6999998090,19.2600002290,23.4699993130,25.3199996950,29.0200004580,37.4940032960,36.8090019230,38.7890014650,33.9800033570,26.3540019990,15.4640007020,9.8400001526
2263.6057130000,2015/09/24,,,017,,,,,,,,,,"Flag, Blue",user,,,,,,,,<gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>,<wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>,<ctx:CreationTime>2015-09-24T22:38:30Z</ctx:CreationTime>,Pine Ridge Neigh 3,187.8600006100,49.8400001530,157.5399932900,178.5399932900,3.5099999905,3.3099999428,0.1299999952,2.4300000668,0.0000000000,25.3400001530,85.2399978640,289.7900085400,59.4799995420,26.8600006100,31.2500000000,28.3199996950,33.4399986270,0.2500000000,9.4399995804,4.9400000572,6.0799999237,31.6100006100,14.6300001140,30.5799999240,32.8899993900,112.1800003100,125.9899978600,111.7300033600,30.5300006870,0.0000000000,7.3600001335,6.5599999428,20.7999992370,0.0000000000,66.9700012210,170.3000030500,5.8200001717,133.9900054900,12.6499996190,43.8100013730,36.2200012210,20.8500003810,62.5600013730,0.0399999991,3.0399999619,45.5200004580,107.5899963400,162.7799987800,2.7950000763,-0.0599999428,1.0749998093,4.0199999809,9.3249998093,12.3849992750,16.6000003810,19.4650001530,16.4899997710,9.9049997330,5.4100003242,-0.8499999046,-2.5349998474,-1.4000000954,3.7350001335,5.2500000000,8.4149999619,13.9200000760,18.6899986270,16.3750000000,13.6049995420,7.5900001526,5.3400001526,2.3350000381,4.2899999619,1.6150000095,3.3300004005,4.7649998665,8.4250001907,14.2649993900,18.3750000000,16.5100002290,14.8649997710,12.1300001140,5.4200000763,1.2199999094,2.6550002098,4.7500000000,5.3449997902,4.3550000191,5.7840003967,14.3450002670,15.4340009690,17.3250007630,15.0550003050,10.0590000150,1.5440000296,-1.1700000763
2599.0021970000,2015/10/03,,,ABCO 1.1,INYO CR,INYO CR,,,,,,,,"Flag, Blue",user,,,,,,,,<gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>,<wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>,<ctx:CreationTime>2015-10-03T20:11:07Z</ctx:CreationTime>,Inyo Craters Neigh 1,94.9199981690,17.0799999240,74.5999984740,25.0900001530,0.0000000000,5.0700001717,2.7100000381,16.5900001530,0.0000000000,24.7099990840,50.9599990840,170.6699981700,23.1200008390,9.0100002289,16.7000007630,19.1200008390,6.2600002289,1.4099999666,9.6700000763,13.7100000380,8.4700002670,20.8299999240,9.0299997330,24.0799999240,27.9099998470,56.6699981690,45.1800003050,9.8699998856,13.0000000000,1.7899999619,20.1000003810,25.6700000760,6.6999998093,0.0000000000,20.6800003050,48.7599983220,3.5499999523,63.5999984740,10.1800003050,31.4099998470,57.2200012210,18.5100002290,36.3600006100,7.3600001335,13.5000000000,36.0000000000,99.9599990840,180.6699981700,1.0799999237,-0.9100003242,1.3899998665,4.0649995804,9.0050001144,13.3050003050,15.2350006100,16.3999996190,13.1550006870,8.3699998856,3.2799997330,-2.7900002003,-4.0349998474,-1.6750001907,3.8200001717,5.0750002861,8.2049999237,13.9899997710,16.5750007630,14.4400005340,12.2300004960,5.5650000572,3.0949997902,-0.4499998093,2.1849999428,1.0649998188,1.8449997902,4.3899998665,8.0100002289,14.1449995040,17.4200000760,14.1800003050,12.5000000000,9.8400001526,4.3299999237,-0.2400000095,1.7399997711,3.5499999523,4.1800003052,3.6499998569,6.6550002098,14.4800004960,14.4200010300,16.1990013120,13.4250001910,8.3200006485,-0.6440000534,-2.6100001335
2533.4184570000,2015/10/09,,,ABMA 3.3,,,,,,,,,,"Flag, Blue",user,,,,,,,,<gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>,<wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>,<ctx:CreationTime>2015-10-09T23:34:30Z</ctx:CreationTime>,Inyo Crater Neigh 3,94.9199981690,17.0799999240,74.5999984740,25.0900001530,0.0000000000,5.0700001717,2.7100000381,16.5900001530,0.0000000000,24.7099990840,50.9599990840,170.6699981700,23.1200008390,9.0100002289,16.7000007630,19.1200008390,6.2600002289,1.4099999666,9.6700000763,13.7100000380,8.4700002670,20.8299999240,9.0299997330,24.0799999240,27.9099998470,56.6699981690,45.1800003050,9.8699998856,13.0000000000,1.7899999619,20.1000003810,25.6700000760,6.6999998093,0.0000000000,20.6800003050,48.7599983220,3.5499999523,63.5999984740,10.1800003050,31.4099998470,57.2200012210,18.5100002290,36.3600006100,7.3600001335,13.5000000000,36.0000000000,99.9599990840,180.6699981700,1.0799999237,-0.9100003242,1.3899998665,4.0649995804,9.0050001144,13.3050003050,15.2350006100,16.3999996190,13.1550006870,8.3699998856,3.2799997330,-2.7900002003,-4.0349998474,-1.6750001907,3.8200001717,5.0750002861,8.2049999237,13.9899997710,16.5750007630,14.4400005340,12.2300004960,5.5650000572,3.0949997902,-0.4499998093,2.1849999428,1.0649998188,1.8449997902,4.3899998665,8.0100002289,14.1449995040,17.4200000760,14.1800003050,12.5000000000,9.8400001526,4.3299999237,-0.2400000095,1.7399997711,3.5499999523,4.1800003052,3.6499998569,6.6550002098,14.4800004960,14.4200010300,16.1990013120,13.4250001910,8.3200006485,-0.6440000534,-2.6100001335
3764.5268550000,2015/07/22,,,BLOCK24,,,,,,,,,,"Flag, Blue",user,,,,,,,,<gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>,<wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>,<ctx:CreationTime>2015-07-22T17:50:58Z</ctx:CreationTime>,White Mountain 3800m,114.1900024400,7.0300002098,30.6000003810,36.9599990840,4.6599998474,1.7599999905,39.0999984740,50.4900016780,10.8500003810,27.1800003050,9.0699996948,147.3300018300,10.6300001140,6.4299998283,3.9900000095,24.5300006870,24.0699996950,2.0399999619,20.2399997710,6.8699998856,27.4099998470,19.6399993900,8.8400001526,10.4300003050,38.3400001530,62.3899993900,61.1500015260,27.8999996190,34.3800010680,8.3800001144,42.5200004580,39.3899993900,36.7700004580,0.0000000000,5.6500000954,31.0499992370,4.5399999619,38.2599983220,6.3000001907,18.2299995420,55.8800010680,24.5799999240,36.2799987790,32.3800010680,9.8800001144,34.7799987790,22.3600006100,68.9599990840,-3.9600000381,-7.1649999619,-6.8949999809,-4.0099997520,1.1849999428,7.7650003433,10.5149993900,11.8149995800,7.3200001717,1.5150001049,-2.8299999237,-8.6250000000,-8.5399999619,-8.7700004578,-4.7049999237,-2.9250001907,0.1700000763,9.0249996185,12.0399999620,9.5900001526,5.5450000763,-0.9950001240,-2.9450001717,-6.0250000954,-3.0549998283,-6.4000000954,-5.6350002289,-3.4300000668,0.1949999332,8.6949996948,11.8649997710,9.1149997711,6.6750001907,3.1449999809,-1.7800000906,-6.5999999046,-3.9800000191,-2.9349999428,-3.4199998379,-4.3600001335,-1.8050000668,9.4000005722,9.0650005341,10.8090009690,7.0390005112,1.8490000963,-5.7340002060,-8.6800003052
3742.3571780000,2015/07/15,,,CHRIS REM 3750,,,,,,,,,,"Flag, Blue",user,,,,,,,,<gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>,<wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>,<ctx:CreationTime>2015-07-15T16:49:33Z</ctx:CreationTime>,White Mountain Chris Cobb Hi,114.1900024400,7.0300002098,30.6000003810,36.9599990840,4.6599998474,1.7599999905,39.0999984740,50.4900016780,10.8500003810,27.1800003050,9.0699996948,147.3300018300,10.6300001140,6.4299998283,3.9900000095,24.5300006870,24.0699996950,2.0399999619,20.2399997710,6.8699998856,27.4099998470,19.6399993900,8.8400001526,10.4300003050,38.3400001530,62.3899993900,61.1500015260,27.8999996190,34.3800010680,8.3800001144,42.5200004580,39.3899993900,36.7700004580,0.0000000000,5.6500000954,31.0499992370,4.5399999619,38.2599983220,6.3000001907,18.2299995420,55.8800010680,24.5799999240,36.2799987790,32.3800010680,9.8800001144,34.7799987790,22.3600006100,68.9599990840,-3.9600000381,-7.1649999619,-6.8949999809,-4.0099997520,1.1849999428,7.7650003433,10.5149993900,11.8149995800,7.3200001717,1.5150001049,-2.8299999237,-8.6250000000,-8.5399999619,-8.7700004578,-4.7049999237,-2.9250001907,0.1700000763,9.0249996185,12.0399999620,9.5900001526,5.5450000763,-0.9950001240,-2.9450001717,-6.0250000954,-3.0549998283,-6.4000000954,-5.6350002289,-3.4300000668,0.1949999332,8.6949996948,11.8649997710,9.1149997711,6.6750001907,3.1449999809,-1.7800000906,-6.5999999046,-3.9800000191,-2.9349999428,-3.4199998379,-4.3600001335,-1.8050000668,9.4000005722,9.0650005341,10.8090009690,7.0390005112,1.8490000963,-5.7340002060,-8.6800003052
2205.8864750000,2015/11/06,,,PIJE 1.1,B M HI,B M HI,,,,,,,,"Flag, Blue",user,,,,,,,,<gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>,<wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>,<ctx:CreationTime>2015-11-06T20:57:40Z</ctx:CreationTime>,Black Mountain Hi Neigh 1,40.7200012210,53.6199989320,100.4800033600,92.1200027470,0.0000000000,0.0000000000,5.5999999046,58.6699981690,19.7099990840,6.0700001717,43.3400001530,119.7099990800,69.3600006100,52.4399986270,58.8100013730,6.7600002289,18.5200004580,0.0000000000,15.3000001910,11.7500000000,59.7099990840,54.6800003050,28.2600002290,33.2799987790,6.9899997711,27.6599998470,107.3600006100,38.7700004580,11.3900003430,0.0000000000,15.2500000000,48.9799995420,19.5200004580,0.0000000000,37.4000015260,122.3000030500,16.5499992370,51.2799987790,26.2399997710,37.3800010680,67.4899978640,2.1700000763,76.2799987790,0.0000000000,44.7900009160,42.9500007630,39.4099998470,70.2900009160,7.3899998665,3.4699997902,4.8650002480,9.7150001526,13.1949996950,16.9950008390,20.8349990840,21.5100002290,19.1450004580,13.5549993520,8.1250000000,3.6150000095,3.2450001240,3.1399998665,8.4499998093,10.1750001910,13.7750005720,18.0849990840,22.3899993900,20.2099990840,17.7500000000,11.3099994660,7.4699997902,5.3750000000,8.8299999237,6.9499998093,8.2500000000,10.3600006100,13.9600000380,18.6100006100,21.5799999240,19.7950000760,18.8050003050,15.3449993130,8.6049995422,4.3999996185,6.2899999619,8.8549995422,9.3950004578,9.3800001144,9.6050004959,18.0000000000,18.1050014500,20.5050010680,18.4050006870,14.3750009540,5.6850004196,2.8650002480
2631.2763670000,2015/10/10,,,PIJE 1.11,,,,,,,,,,"Flag, Blue",user,,,,,,,,<gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>,<wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>,<ctx:CreationTime>2015-10-10T20:53:35Z</ctx:CreationTime>,SherwinLakes Neighborhood 1,101.6600036600,19.6399993900,94.4000015260,30.4400005340,0.0000000000,10.3800001140,4.0199999809,20.6399993900,0.0000000000,26.4500007630,55.0099983220,182.2100067100,25.1800003050,9.4600000381,23.6399993900,19.2700004580,8.1599998474,3.0599999428,8.0900001526,17.1000003810,12.7100000380,21.1000003810,8.0500001907,26.3600006100,28.8199996950,65.3799972530,56.6100006100,11.1800003050,20.4400005340,1.1699999571,29.8299999240,33.4399986270,3.8599998951,0.0000000000,19.5300006870,57.4500007630,3.7200000286,69.2099990840,10.0200004580,30.4500007630,49.1100006100,12.9099998470,44.9300003050,4.2100000381,13.0600004200,36.6199989320,106.0299987800,165.2700042700,1.0400002003,-1.3450002670,1.1699998379,4.3599996567,8.5749998093,13.3000001910,15.1549997330,16.2549991610,13.1049995420,8.2150001526,2.7799997330,-2.8300001621,-3.8250000477,-2.5000000000,3.3800001144,5.2899999619,8.4600000381,14.1350002290,16.8699989320,14.6550006870,12.2100000380,5.5349998474,2.8600001335,-1.0199999809,1.9900000095,0.9300000668,1.7100000381,4.5650000572,8.2899999619,13.8000001910,17.2099990840,14.0250005720,12.5250005720,9.7150001526,4.1649999619,-0.2400000095,1.9199998379,3.6350002289,4.2699999809,3.9099998474,6.6840004921,15.0100011830,14.7190008160,16.7350006100,13.7150011060,8.4400005341,-0.7200000286,-2.5190000534
2608.2949220000,2015/10/10,,,PIJE 2.1 SL,,,,,,,,,,"Flag, Blue",user,,,,,,,,<gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>,<wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>,<ctx:CreationTime>2015-10-10T22:36:42Z</ctx:CreationTime>,Sherwin Lakes Neighborhood 2,101.6600036600,19.6399993900,94.4000015260,30.4400005340,0.0000000000,10.3800001140,4.0199999809,20.6399993900,0.0000000000,26.4500007630,55.0099983220,182.2100067100,25.1800003050,9.4600000381,23.6399993900,19.2700004580,8.1599998474,3.0599999428,8.0900001526,17.1000003810,12.7100000380,21.1000003810,8.0500001907,26.3600006100,28.8199996950,65.3799972530,56.6100006100,11.1800003050,20.4400005340,1.1699999571,29.8299999240,33.4399986270,3.8599998951,0.0000000000,19.5300006870,57.4500007630,3.7200000286,69.2099990840,10.0200004580,30.4500007630,49.1100006100,12.9099998470,44.9300003050,4.2100000381,13.0600004200,36.6199989320,106.0299987800,165.2700042700,1.0400002003,-1.3450002670,1.1699998379,4.3599996567,8.5749998093,13.3000001910,15.1549997330,16.2549991610,13.1049995420,8.2150001526,2.7799997330,-2.8300001621,-3.8250000477,-2.5000000000,3.3800001144,5.2899999619,8.4600000381,14.1350002290,16.8699989320,14.6550006870,12.2100000380,5.5349998474,2.8600001335,-1.0199999809,1.9900000095,0.9300000668,1.7100000381,4.5650000572,8.2899999619,13.8000001910,17.2099990840,14.0250005720,12.5250005720,9.7150001526,4.1649999619,-0.2400000095,1.9199998379,3.6350002289,4.2699999809,3.9099998474,6.6840004921,15.0100011830,14.7190008160,16.7350006100,13.7150011060,8.4400005341,-0.7200000286,-2.5190000534
